id,meter_number,asset_number,user_id,meter_type,multiplier,discount,is_locked,paired_meter_id,project_name,source_file,source_sheet,created_at,updated_at
1,0946070038924024,09001SG00000061804340887,0946000082501856,上网表,1500.0,1.0,0,,沙井智荟2026年1月电费,耀嵘.xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:17
2,0946070038961957,09001SF00000042207349302,0946000082501856,发电表,400.0,1.0,0,,沙井智荟2026年1月电费,耀嵘.xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:17
5,0948030041991233,09001SF00000042207356622,0948030028524986,上网表,60.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
6,0948030042077031,09001SF00000042207356623,0948030028524999,上网表,60.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
7,0948030041991350,09001SF00000042207356624,0948030027271344,上网表,60.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
8,0948030042119702,09001SF00000042207356625,0948030027271533,上网表,60.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
9,0948030037341288,09001SF00000042508942178,0948030037341288,上网表,40.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
10,0948030028525149,09001SF00000042508942190,0948030028525149,上网表,100.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
11,0948030043388253,09001SF00000042508942191,0948030043388253,上网表,100.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
12,0948030027271605,09001SF00000042508942193,0948030027271605,上网表,100.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
13,0948030027333525,09001SF00000042508942212,0948030027333525,上网表,100.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
14,0948030043525791,09001SF00000042508942222,0948030043525791,上网表,100.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
15,0948030027271562,09001SF00000042508942223,0948030027271562,上网表,60.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
16,0948030030377367,09001SF00000042508942224,0948030030377367,上网表,100.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
17,0948030028525006,09001SF00000042508942225,0948030028525006,上网表,60.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
18,0948030041968273,09001SF00000042408595704,0948030027271533,发电表,60.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:17
19,0948030041302226,09001SF00000042408595705,0948030027271344,发电表,60.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:17
20,0948030044235084,09001SF00000042508942175,0948030043525791,发电表,100.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:17
21,0948030044326050,09001SF00000042508942176,0948030027271605,发电表,60.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
22,0948030044235127,09001SF00000042508942177,0948030028525006,发电表,60.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
23,0948030044235114,09001SF00000042508942194,0948030030377367,发电表,60.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
24,0948030044266295,09001SF00000042508942195,0948030043388253,发电表,60.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
25,0948030044235101,09001SF00000042508942196,0948030028525149,发电表,60.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
26,0948030045008711,09001SF00000042508943351,0948030027333525,发电表,60.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
27,0948030044194534,09001SF00000042509164565,0948030037341288,发电表,1.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
28,0948030044235097,09001SF00000042509164566,0948030027271562,发电表,1.0,1.0,0,,华尔特光伏电费（1月）,1月用户表码（全部） (洲千).xls,用户表码1,2026-04-15 06:07:16,2026-04-15 06:07:16
29,0950050038400663,09001SF00000041804265458,0950000880022175,上网表,80.0,1.0,0,,首熙、完美印刷、鑫海盈2026年1月电费,深圳市耀嵘科技有限公司20260201 (8).xls,批量信息1,2026-04-15 06:07:16,2026-04-15 06:07:17
30,0950050038441905,09001SF00000042107007791,0950000047355990,上网表,20.0,1.0,0,,首熙、完美印刷、鑫海盈2026年1月电费,深圳市耀嵘科技有限公司20260201 (8).xls,批量信息1,2026-04-15 06:07:16,2026-04-15 06:07:17
31,0950050038475391,09001SF00000042107007793,0950000048227895,上网表,40.0,1.0,0,,首熙、完美印刷、鑫海盈2026年1月电费,深圳市耀嵘科技有限公司20260201 (8).xls,批量信息1,2026-04-15 06:07:16,2026-04-15 06:07:17
32,0950050038124235,09001SF00000042207348994,0950000088133431,发电表,100.0,1.0,0,,首熙、完美印刷、鑫海盈2026年1月电费,深圳市耀嵘科技有限公司20260201 (8).xls,批量信息1,2026-04-15 06:07:16,2026-04-15 06:07:17
33,0950050038124248,09001SF00000042207348995,0950000880022175,发电表,100.0,1.0,0,,首熙、完美印刷、鑫海盈2026年1月电费,深圳市耀嵘科技有限公司20260201 (8).xls,批量信息1,2026-04-15 06:07:16,2026-04-15 06:07:17
34,0950050038124222,09001SF00000042207348996,0950000047355990,发电表,40.0,1.0,0,,首熙、完美印刷、鑫海盈2026年1月电费,深圳市耀嵘科技有限公司20260201 (8).xls,批量信息1,2026-04-15 06:07:16,2026-04-15 06:07:17
35,0950050038007239,09001SF00000042207348997,0950000048227895,发电表,40.0,1.0,0,,首熙、完美印刷、鑫海盈2026年1月电费,深圳市耀嵘科技有限公司20260201 (8).xls,批量信息1,2026-04-15 06:07:16,2026-04-15 06:07:17
69,0319700337706620,03591SF00000002402908536,0319009900152123,发电表,100.0,1.0,0,,特旺光伏项目,特旺光伏项目发电统计表 - 副本.xlsx,每月汇总,2026-04-15 06:07:17,2026-04-15 06:07:17
70,0319700356999007,03001SG00011312000002494,0319009900152123,上网表,1000.0,1.0,0,,特旺光伏项目,特旺光伏项目发电统计表 - 副本.xlsx,每月汇总,2026-04-15 06:07:17,2026-04-15 06:07:17
71,0948030041968361,09001SF00000042408595673,0948030028524999,发电表,40.0,1.0,0,,华尔特光伏电费（1月）,华尔特项目电费统计表202601.xlsx,每月汇总,2026-04-15 06:07:17,2026-04-15 06:07:17
72,0948030041968260,09001SF00000042408595672,0948030028524986,发电表,40.0,1.0,0,,华尔特光伏电费（1月）,华尔特项目电费统计表202601.xlsx,每月汇总,2026-04-15 06:07:17,2026-04-15 06:07:17
73,0950050038441846,09001SG00000062105025931,0950000088133431,上网表,600.0,1.0,0,,首熙、完美印刷、鑫海盈2026年1月电费,首熙202601.xlsx,首熙20261月,2026-04-15 06:07:17,2026-04-15 06:07:17
74,0946110039693280,,0946000080510140,发电表,1.0,1.0,0,,新丰电器,新丰电器光伏项目202601.xlsx,202512,2026-04-15 06:07:17,2026-04-15 06:07:17
75,0946110039724247,09001SG00000061704249263,0946000080510140,上网表,1.0,1.0,0,,新丰电器,新丰电器光伏项目202601.xlsx,202512,2026-04-15 06:07:17,2026-04-15 06:07:17
76,0946110039760249,09001SF00000042207350144,0946000080509517,发电表,1.0,1.0,0,,新丰电器,新丰电器光伏项目202601.xlsx,202512,2026-04-15 06:07:17,2026-04-15 06:07:17
77,0946110039699419,09001SF00000042207265554,0946000080509517,上网表,1.0,1.0,0,,新丰电器,新丰电器光伏项目202601.xlsx,202512,2026-04-15 06:07:17,2026-04-15 06:07:17
