id,meter_id,reading_month,sharp_peak,peak,flat,valley,total_kwh,rev_sharp_peak,rev_peak,rev_flat,rev_valley,rev_total,cur_sharp_peak,cur_peak,cur_flat,cur_valley,cur_total,prev_sharp_peak,prev_peak,prev_flat,prev_valley,prev_total,stat_date,is_locked,source_file,source_sheet,email_date,created_at,meter_number,user_id,project_name
1,1,2026-03,5.09,6.15,11.3,2.97,25.53,127.53,117.18,186.1,3.73,434.55,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042508942225,,
2,2,2026-03,78.44,117.54,246.68,242.21,684.89,39.2,29.69,76.52,0.42,145.84,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042508942224,,
3,3,2026-03,48.45,63.67,70.72,12.77,195.62,10.97,11.12,25.23,0.56,47.89,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042508942223,,
4,4,2026-03,68.12,96.58,179.3,145.46,489.46,64.74,62.55,150.89,1.25,279.45,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042508942222,,
5,5,2026-03,44.16,62.98,95.5,41.61,244.26,32.98,29.72,75.31,1.4,139.43,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042508942212,,
6,6,2026-03,56.84,78.28,129.72,17.08,281.94,55.83,50.61,105.12,1.94,213.52,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042508942193,,
7,7,2026-03,2.38,7.29,10.76,4.62,25.07,72.0,68.71,122.62,3.01,266.35,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042508942191,,
8,8,2026-03,110.27,154.06,315.02,256.35,835.72,22.19,20.44,55.61,0.66,98.91,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042508942190,,
9,9,2026-03,148.07,156.57,132.05,15.91,452.62,18.35,18.76,65.74,1.73,104.6,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042508942178,,
10,10,2026-03,31.15,69.6,173.51,98.98,373.26,302.15,286.42,525.76,30.44,1144.79,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042207356625,,
